,item,IAB_Candidates,scores
0,crane,['Automotive'],3
1,disk brake,"['Automotive', 'Auto Parts', 'Motorcycles']",3
2,auto_factory,"['Automotive', 'Auto Parts', 'Auto Repair', 'Automotive Industry', 'Technology Industry', 'Auto Body Styles', 'Pickup Trucks', 'Green Vehicles', 'Luxury Cars', 'Auto Type']",3
3,cab,"['Automotive', 'Minivan', 'Auto Rentals']",3
4,car mirror,"['Automotive', 'Auto Parts', 'Auto Rentals']",3
5,racer,['Automotive'],3
6,Motorbike,"['Automotive', 'Auto Body Styles', 'Auto Shows', 'Motorcycles', 'Motorcycles']",3
7,Wheel,"['Automotive', 'Commercial Trucks', 'Convertible', 'Coupe', 'Green Vehicles', 'Luxury Cars', 'Minivan', 'Pickup Trucks', 'Sedan', 'Station Wagon', 'SUV', 'Van', 'Auto Body Styles', 'Auto Parts', 'Auto Rentals', 'Auto Shows', 'Motorcycles', 'Road-Side Assistance']",3
8,convertible,"['Automotive', 'Convertible', 'Coupe', 'Luxury Cars', 'Sedan', 'SUV', 'Auto Body Styles', 'Auto Rentals', 'Auto Shows']",3
9,Acoustic guitar,"['Musical Instruments', 'Music and Audio']",3
10,auto_showroom,"['Automotive', 'Convertible', 'Coupe', 'Green Vehicles', 'Luxury Cars', 'Minivan', 'Pickup Trucks', 'Sedan', 'Station Wagon', 'SUV', 'Van', 'Auto Body Styles', 'Auto Shows', 'Auto Type', 'Automotive Industry']",3
11,passenger car,"['Automotive', 'Auto Body Styles', 'Automotive Industry', 'Rail Travel']",3
12,pickup,"['Automotive', 'Commercial Trucks', 'Pickup Trucks']",3
13,Truck,"['Automotive', 'Commercial Trucks', 'Green Vehicles', 'Luxury Cars', 'Pickup Trucks', 'SUV', 'Auto Body Styles', 'Auto Rentals', 'Auto Repair', 'Auto Shows', 'Road-Side Assistance', 'Automotive Industry', 'Africa Travel', 'Camping', 'Europe Travel', 'North America Travel', 'Travel Locations', 'Commercial Trucks', 'Pickup Trucks', 'Auto Parts', 'Auto Rentals', 'Auto Repair', 'Auto Shows', 'Green Vehicles', 'Luxury Cars', 'Auto Parts', 'Logistics and Transportation Industry', 'Commercial Trucks', 'Pickup Trucks', 'Luxury Cars', 'Road-Side Assistance', 'Auto Parts', 'Auto Repair', 'Auto Shows', 'Auto Rentals', 'Logistics and Transportation Industry']",3
14,Car,"['Automotive', 'Convertible', 'Coupe', 'Green Vehicles', 'Luxury Cars', 'Minivan', 'Pickup Trucks', 'Sedan', 'Station Wagon', 'SUV', 'Van', 'Auto Body Styles', 'Auto Parts', 'Auto Rentals', 'Auto Repair', 'Auto Shows', 'Road-Side Assistance', 'Automotive Industry', 'Automotive', 'Auto Body Styles', 'Convertible', 'Coupe', 'Minivan', 'Pickup Trucks', 'Sedan', 'Station Wagon', 'SUV', 'Van', 'Auto Parts', 'Auto Rentals', 'Auto Repair', 'Auto Shows', 'Auto Type', 'Green Vehicles', 'Luxury Cars', 'Road-Side Assistance', 'Sedan', 'Station Wagon', 'SUV', 'Minivan', 'Pickup Trucks', 'Green Vehicles', 'Luxury Cars', 'Auto Type', 'Road-Side Assistance', 'Auto Parts', 'Auto Shows', 'Auto Rentals', 'Automotive', 'Auto Body Styles', 'Commercial Trucks', 'Convertible', 'Coupe', 'Auto Type', 'Auto Repair', 'Automotive Industry', 'Van']",3
