,item,predictions,cosine_predicted
0,3D CG rendering,Video Gaming,0.8257559239684544
1,3D glasses,Consumer Electronics,0.8324908875768999
2,3D glasses,Smartphones,0.832295954475373
3,3D glasses,Laptops,0.8316901269570216
4,3D glasses,Video Gaming,0.8274972660073057
5,3D glasses,Tablets and E-readers,0.8246015171655043
6,3D glasses,Cameras and Camcorders,0.8131416908849392
7,3D glasses,Travel Accessories,0.803426298005953
8,3D glasses,Makeup and Accessories,0.8029773006759457
9,3D glasses,Technology & Computing,0.7900851755909001
10,abacus,Science,0.8042665168237579
11,abalone,Birds,0.8067062709326491
12,abalone,Pets,0.7683635148709971
13,monastery,Museums & Galleries,0.8034417516181618
14,monastery,Religious Events,0.8023494338297228
15,monastery,Religion & Spirituality,0.7999366875998922
16,belly,Beauty,0.8211728910800852
17,belly,Style & Fashion,0.7671296118257671
18,academy,Education,0.8366471922275334
19,academy,Sports,0.8289004806316479
20,academy,Graduation,0.8261123595361395
21,academy,Science,0.8257043229193661
22,academy,College Education,0.8253896983609983
23,academy,Education industry,0.8192266155254061
24,academy,Movies,0.8179747608927438
25,academy,Museums & Galleries,0.8096720216500491
26,academy,Primary Education,0.8046434889383058
27,academy,Cinemas and Events,0.802612871966881
28,academy,Daycare and Pre-School,0.8023989056960767
29,academy,Space and Astronomy,0.799651052419136
30,academy,Fine Art,0.7983974785323361
31,academy,Media Industry,0.7983846114184876
32,academy,Events and Attractions,0.7800076206306413
33,accessory,Makeup and Accessories,0.8546767452961002
34,accessory,Travel Accessories,0.8367661814544489
35,accessory,Auto Parts,0.8186329427993342
36,accessory,Convertible,0.8176478643460829
37,accessory,Home Appliances,0.8043133130735486
38,accessory,Style & Fashion,0.8005859726217129
39,accessory,Beauty,0.7959170859789341
40,accessory,Travel,0.7887392426079414
41,accessory,Automotive,0.8121266027957835
42,accessory,Auto Body Styles,0.7834847936965348
43,accessory,Home & Garden,0.7808794018829746
44,accident,Road-Side Assistance,0.8098500514832452
45,accident,Auto Repair,0.8048907463576764
46,accident,Auto Type,0.8019369775160131
47,accident,Automotive,0.8031495461286983
48,accordion,Musical Instruments,0.8359101837385777
49,accordion,Travel,0.8204460995938654
50,accordion,Sports,0.8201115412219298
51,accordion,Convertible,0.8195937627285748
52,accordion,Music and Audio,0.8110854789065924
