IAB_Label,node_ids
Hair Care,1547
Shaving,6342
Motorcycles,20159
Women's Formal Wear,11540
Women's Clothing,729
Retail Industry,2389
Comedy Events,2516
Household Supplies,28980
Home Security,33187
Polar Travel,502
Auto Parts,24691
Awards Shows,53707
Business and Finance,1511
Barbecues and Grilling,2420
Grocery Shopping,7781
Auto Body Styles,17450
Cooking,2091
Women's Handbags and Wallets,1279
Cruises,43110
Coupe,21094
World Cuisines,38044
Landscaping,1881
Commercial Trucks,58715
Video Gaming,37476
Healthy Living,24762
Men's Formal Wear,2334
Dating,10581
Birthday,388
Wedding,1384
Museums & Galleries,10036
Fitness and Exercise,1440
Education industry,198
Tablets and E-readers,44245
Retail Property,4030
Beach Travel,2559
Outdoor Activities,25032
Hotels and Motels,2105
Space and Astronomy,190
Holiday Shopping,2213
Concerts & Music Events,118
Auto Type,15150
Entertainment Industry,6147
Travel Locations,3106
Minivan,5191
Smartphones,10389
Luxury Cars,15149
Travel,901
Perfume and Fragrance,3037
Alcoholic Beverages,27488
Prom,6299
Parks & Nature,4902
Science,441
Rail Travel,5902
Women's Jewelry and Watches,321
Convertible,206
Camping,2353
Telecommunications Industry,26870
Reptiles,4464
SUV,14269
Men's Clothing,12320
Card Games,550
Hobbies & Interests,7779
Auto Repair,90854
College Education,44985
Birds,2898
Home & Garden,513
Home Appliances,43270
Auto Rentals,18359
Van,801
Europe Travel,79343
Pop Culture,64190
Hotel Properties,358
Flower Shopping,5263
Sedan,6575
Laptops,63132
Africa Travel,41131
Women's Shoes and Footwear,1933
Logistics and Transportation Industry,971
Desserts and Baking,245
Music and Audio,1164
Financial Industry,22734
Religious Events,106405
Theater Venues and Events,1875
Technology Industry,34537
Technology & Computing,180
Parenting,2721
Fine Art,34568
Events and Attractions,5507
Bars & Restaurants,184
Nail Care,31148
Pets,8796
Aviation Industry,113513
Cinemas and Events,1562
Games and Puzzles,1636
North America Travel,38888
Family and Relationships,543
Consumer Electronics,10390
Men's Casual Wear,14955
Food & Drink,4144
Malls & Shopping Centers,2907
Media Industry,88232
Green Vehicles,20974
Apartments,4104
Large Animals,33659
Land and Farms,134
Pickup Trucks,68236
Sports,947
Shopping,2196
Remodeling & Construction,864
Auto Shows,34997
Automotive Industry,2233
Office Property,61749
Board Games and Puzzles,879
Houses,504
Real Estate,666
Medical Health,100
Beauty,1108
Apparel Industry,29483
Religion & Spirituality,229
Asia Travel,27734
Food Industry,37943
Graduation,856
Travel Accessories,109731
Road-Side Assistance,23370
Home Entertaining,12540
Dining Out,54205
Smart Home,36000
Healthcare Industry,37134
Style & Fashion,112
Deodorant and Antiperspirant,7075
Fashion Events,212
Gardening,3014
Daycare and Pre-School,8706
Single Life,3733
Oral care,2088
Musical Instruments,1150
Makeup and Accessories,345
Bath and Shower,2043
Personal Celebrations & Life Events,32848
Australia and Oceania Travel,102604
Wellness,6021
Zoos & Aquariums,575
Cameras and Camcorders,265
Casinos & Gambling,323
Television,1394
Home Improvement,16747
Air Travel,13731
Station Wagon,9628
South America Travel,30471
Desktops,26862
Automotive,1061
Children's Games and Toys,764
Hospitality Industry,722
Movies,952
Dogs,709
Education,674
Cats,4362
Primary Education,23605
Books and Literature,460
Non-Alcoholic Beverages,62645
