left,right,score
television,Television,0.9807333946228027
television,Television,0.9807333946228027
television,Television,0.9807333946228027
television,Television,0.9807333946228027
dogs,Dogs,0.9789137244224548
toy,Children's Games and Toys,0.9781342148780823
dessert,Desserts and Baking,0.9624428749084473
bath,Bath and Shower,0.9504331350326538
restaurant,Bars & Restaurants,0.9493370056152344
restaurant,Bars & Restaurants,0.9493370056152344
beach,Beach Travel,0.9459083676338196
wallet,Women's Handbags and Wallets,0.9355251789093018
skiing,Polar Travel,0.9292495250701904
camera,Cameras and Camcorders,0.9254360198974609
camera,Cameras and Camcorders,0.9254360198974609
shower,Bath and Shower,0.9228623509407043
shower,Bath and Shower,0.9228623509407043
farm,Land and Farms,0.9118907451629639
watch,Women's Jewelry and Watches,0.9057524800300598
book,Books and Literature,0.8946719765663147
book,Books and Literature,0.8946719765663147
bar,Bars & Restaurants,0.8830657601356506
pets,Pets,0.8688855767250061
library,Houses,0.8682833909988403
wig,Events and Attractions,0.8667955994606018
ice_cream,Desserts and Baking,0.8655117750167847
ice_cream,Desserts and Baking,0.8655117750167847
trifle,Reptiles,0.8642606139183044
driving_car,Movies,0.8633821606636047
mule,Zoos & Aquariums,0.8630623817443848
furniture,Home & Garden,0.8613683581352234
purse,Women's Handbags and Wallets,0.860372006893158
fireplace,Houses,0.8580337762832642
furniture,Bath and Shower,0.8542875051498413
dogs,Pets,0.8540708422660828
furniture,Hotel Properties,0.853907585144043
furniture,Bars & Restaurants,0.8538981080055237
waffle_iron,Auto Body Styles,0.8535536527633667
waffle_iron,Auto Body Styles,0.8535536527633667
aquarium,Zoos & Aquariums,0.8526155352592468
banana,Desserts and Baking,0.8525800704956055
banana,Desserts and Baking,0.8525800704956055
banana,Desserts and Baking,0.8525800704956055
library,Zoos & Aquariums,0.8515366911888123
tea,Bars & Restaurants,0.8511627316474915
cocktail,Musical Instruments,0.8511540293693542
file,Zoos & Aquariums,0.8511480093002319
music,Music and Audio,0.8507645130157471
bee_house,Retail Property,0.8497434258460999
outside,Home & Garden,0.8483715653419495
outside,Home & Garden,0.8483715653419495
furniture,Zoos & Aquariums,0.8473994135856628
furniture,Malls & Shopping Centers,0.847070574760437
box_turtle,Convertible,0.8470093607902527
opera,Theater Venues and Events,0.8468723297119141
lotion,Beach Travel,0.8466514348983765
stool,Bars & Restaurants,0.8456962704658508
skull,Movies,0.8456230759620667
hockey_puck,Reptiles,0.8452005386352539
whack,Events and Attractions,0.8451293110847473
shoe_shop,Women's Shoes and Footwear,0.8438120484352112
shoe_shop,Women's Shoes and Footwear,0.8438120484352112
bolete,Retail Property,0.8434728384017944
starfish,Beauty,0.8434267044067383
starfish,Beauty,0.8434267044067383
bust,Zoos & Aquariums,0.8433096408843994
candle,Bars & Restaurants,0.8430687785148621
candle,Bars & Restaurants,0.8430687785148621
opera,Music and Audio,0.8426992893218994
furniture,Women's Handbags and Wallets,0.8424481153488159
stable,Zoos & Aquariums,0.8423267006874084
furniture,Theater Venues and Events,0.8423082232475281
toilet,Bath and Shower,0.8413997888565063
toilet,Bath and Shower,0.8413997888565063
barn,Home & Garden,0.8413955569267273
barn,Home & Garden,0.8413955569267273
sabot,Auto Body Styles,0.8412322402000427
ferret,Reptiles,0.8407043218612671
doll,Children's Games and Toys,0.8405805230140686
fireplace,Comedy Events,0.8400673270225525
pastry,Desserts and Baking,0.8389562368392944
yard,Home & Garden,0.8387919068336487
underground,Convertible,0.8382648229598999
using_computer,Movies,0.8376754522323608
convertible,Convertible,0.8374338746070862
furniture,Casinos & Gambling,0.8372698426246643
caterpillar,Home & Garden,0.835875928401947
furniture,Land and Farms,0.835335373878479
bust,Comedy Events,0.8350285887718201
grape,Bars & Restaurants,0.8349193930625916
dining,Bars & Restaurants,0.8346757292747498
piano,Music and Audio,0.8344542384147644
piano,Music and Audio,0.8344542384147644
rifle,Movies,0.8343269228935242
rifle,Movies,0.8343269228935242
doughnut,Desserts and Baking,0.8339409232139587
bust,Land and Farms,0.8338184356689453
furniture,Dogs,0.8335512280464172
rubber,Reptiles,0.8332873582839966
weapon,Zoos & Aquariums,0.8332430720329285
singing,Music and Audio,0.8332016468048096
singing,Music and Audio,0.8332016468048096
mule,Birds,0.8331677913665771
lynx,Hobbies & Interests,0.8329635858535767
lynx,Hobbies & Interests,0.8329635858535767
ferret,Zoos & Aquariums,0.8322270512580872
funk,Zoos & Aquariums,0.8319576978683472
crying,Minivan,0.8314543962478638
crying,Minivan,0.8314543962478638
fast_food,Bars & Restaurants,0.8313829302787781
snowboarding,Polar Travel,0.8313590884208679
furniture,Movies,0.8308923244476318
underground,Events and Attractions,0.8308563232421875
choir,Musical Instruments,0.830769956111908
box_turtle,Reptiles,0.8307133316993713
coconut,Home & Garden,0.8299767971038818
kite,Birds,0.8296252489089966
kite,Birds,0.8296252489089966
kite,Birds,0.8296252489089966
tea,Malls & Shopping Centers,0.829298198223114
shed,Home & Garden,0.8292744755744934
tank,Musical Instruments,0.8292410969734192
tank,Musical Instruments,0.8292410969734192
hook,Minivan,0.829234778881073
rub,Cats,0.8291988968849182
rubber,Birds,0.8290261030197144
mosquito,Retail Industry,0.8287345170974731
furniture,Education industry,0.8285939693450928
lawn,Home & Garden,0.828278124332428
rocker,Movies,0.8282515406608582
nursery,Movies,0.8278871774673462
nursery,Movies,0.8278871774673462
furniture,Birds,0.827886700630188
choir,Music and Audio,0.8276777267456055
ferret,Houses,0.8273585438728333
footwear,Women's Shoes and Footwear,0.827357292175293
furniture,Children's Games and Toys,0.8266199231147766
juice,Birds,0.8265432119369507
domestic_animals,Wellness,0.8264806866645813
piano,Musical Instruments,0.8261827826499939
piano,Musical Instruments,0.8261827826499939
rub,Land and Farms,0.8261431455612183
barn,Zoos & Aquariums,0.8259791135787964
barn,Zoos & Aquariums,0.8259791135787964
furniture,Travel,0.825753390789032
mosquito,Birds,0.8257342576980591
outside,Movies,0.825394868850708
