item,node_id,IAB_Candidates,H_Scores
closet,1221,"['Style & Fashion', ""Women's Clothing"", ""Men's Clothing"", ""Men's Formal Wear""]","[0.726366246, 0.71877271, 0.723077517, 0.710872927]"
rosehip,36510,"['Flower Shopping', 'Home & Garden']","[0.742494378, 1.0]"
appenzeller,53549,['Food & Drink'],[1.0]
english_springer,5232,['Dogs'],[0.76407377]
grocery,945,"['Business and Finance', 'Food Industry', 'Retail Industry', 'Food & Drink', 'Desserts and Baking', 'Retail Property', 'Shopping', 'Grocery Shopping', 'Household Supplies']","[0.7733311140000001, 0.863967368, 0.8380571059999999, 0.775782028, 0.72015559, 0.81518876, 0.825216354, 0.960761628, 0.772538293]"
siberian_husky,662,"['Pets', 'Dogs']","[0.738195057, 0.819781564]"
man-eating_shark,96941,['Large Animals'],[0.744134087]
upright_piano,3772,['Musical Instruments'],[0.7823162779999999]
miniature_poodle,4795,"['Pets', 'Dogs', 'Large Animals']","[0.757090667, 0.8408349509999999, 0.72506731]"
washing_machine,7197,"['Home Appliances', 'Consumer Electronics']","[0.784225498, 0.717050335]"
mouth_organ,17824,"['Musical Instruments', 'Music and Audio']","[0.794053874, 1.0]"
bee_house,45589,['Pets'],[1.0]
beer_bottle,4581,"['Food Industry', 'Dining Out', 'Events and Attractions', 'Travel', 'Style & Fashion']","[0.784907495, 0.746185324, 1.0, 1.0, 1.0]"
great_white_shark,7511,['Large Animals'],[0.744134087]
border_collie,22877,['Pets'],[0.719476369]
hungarian_pointer,13295,['Dogs'],[0.760129176]
kuvasz,18558,['Large Animals'],[0.7449910359999999]
pickup,3340,"['Commercial Trucks', 'Pickup Trucks', 'Luxury Cars', 'Auto Type']","[0.808956638, 0.967530528, 0.739401805, 0.71993284]"
globe_artichoke,46477,['Healthy Living'],[1.0]
residence,1056,"['Home & Garden', 'Smart Home', 'Home Appliances', 'Home Entertaining', 'Home Improvement', 'Home Security', 'Real Estate', 'Apartments', 'Retail Property', 'Houses', 'Land and Farms', 'Household Supplies']","[0.8008469979999999, 0.813714059, 0.823670363, 0.8079224429999999, 0.8305625670000001, 0.833352717, 0.749426739, 0.7727118690000001, 0.746341245, 0.794322302, 0.714121839, 0.7126022890000001]"
coach,312,"['Logistics and Transportation Industry', 'Travel']","[0.7204749559999999, 0.699363825]"
wireless,482,"['Automotive', 'Entertainment Industry', 'Technology Industry', 'Telecommunications Industry', 'Music and Audio', 'Consumer Electronics', 'Smartphones']","[0.71689951, 0.7286450990000001, 0.730458513, 0.7486335690000001, 0.7742068329999999, 0.821379018, 0.636530454]"
acorn_squash,4445,['Healthy Living'],[1.0]
dock,343,"['Outdoor Activities', 'Real Estate']","[0.785321, 1.0]"
hand_blower,1153,['Hair Care'],[0.786192617]
birdhouse,4167,['Home & Garden'],[0.721076588]
medicine_cabinet,8856,['Medical Health'],[0.773211047]
church_building,3539,"['Religious Events', 'Religion & Spirituality']","[0.7432778459999999, 1.0]"
